P00001,-1.44,-1.73
P00002,-1.11,7.02
P00003,-1.28,-14.97
P00004,3.32,-2.67
P00005,-2.17,1.16
P00006,2.32,11.64
P00007,6.57,1.11
P00008,-7.38,-10.15
P00009,2.46,13.11
P00010,0.42,-1.06
P00011,5.32,-14.54
P00012,-3.12,4.9
P00013,8.73,-2.41
P00014,3.77,2.48
P00015,7.82,-11.13
P00016,5.68,-15.15
P00017,-26.2,-6.07
P00018,-9.16,8.76
P00019,6.64,-12.19
P00020,8.47,-10.02
P00021,-0.86,-2.94
P00022,1.14,8.19
P00023,6.38,3.5
P00024,6.5,4.78
P00025,-6.27,-7.17
P00026,-4.7,4.99
P00027,-2.5,23.36
P00028,-8.19,-10.99
P00029,7.68,14.22
P00030,5.06,8.36
P00031,14.26,-0.94
P00032,-14.23,-5.32
P00033,9.53,-14.44
P00034,0.34,2.53
P00035,-3.16,7.24
P00036,5.81,23.21
P00037,6.2,-6.09
P00038,-5.62,-8.32
P00039,9.52,-5.67
P00040,-0.7,7.49
P00041,-7.23,-2.94
P00042,-18.41,-10.82
P00043,-5.68,4.16
P00044,11.93,-0.18
P00045,2.61,1.68
P00046,10.85,8.93
P00047,2.74,-10.11
P00048,9.03,3.81
P00049,12.27,-0.3
P00050,19.53,-3.59
P00051,15.93,1.15
P00052,-5.16,-11.28
P00053,-1.51,14.23
P00054,8.16,6.89
P00055,-23.76,7.11
P00056,5.56,-5.5
P00057,-6.27,-0.02
P00058,17.25,-10.55
P00059,-4.28,13.62
P00060,-4.46,-3.64
P00061,0.98,-12.41
P00062,2.2,-12.1
P00063,8.85,0.03
P00064,22.83,2.81
P00065,13.66,-13.03
P00066,-1.22,3.23
P00067,17.46,-16.81
P00068,9.91,5.91
P00069,15.34,7.12
P00070,0.52,-5.22
P00071,-12.48,1.95
P00072,-1.92,20.2
P00073,-6.11,3.2
P00074,-15.69,-3.95
P00075,2.61,8.24
P00076,14.48,-0.44
P00077,-11.17,4.58
P00078,5.17,4.92
P00079,-7.0,11.33
P00080,0.88,7.0
P00081,12.74,6.09
P00082,2.87,21.53
P00083,2.44,-2.96
P00084,1.12,14.83
P00085,1.19,5.19
P00086,11.96,-5.13
P00087,-17.27,2.99
P00088,2.3,-6.08
P00089,8.71,6.08
P00090,-9.95,5.18
P00091,-1.96,-14.83
P00092,4.53,-0.45
P00093,-7.45,5.23
P00094,4.88,-5.78
P00095,4.0,10.15
P00096,-7.13,3.81
P00097,0.03,22.66
P00098,-18.62,6.95
P00099,-3.06,-1.0
P00100,19.02,-0.09
P00101,22.41,-4.42
P00102,3.51,-4.91
P00103,-6.91,0.62
P00104,-2.83,2.02
P00105,-21.05,20.02
P00106,-1.67,17.43
P00107,-10.07,2.93
P00108,31.65,-8.7
P00109,-14.95,-5.47
P00110,4.72,6.93
P00111,12.9,-2.57
P00112,-16.02,-4.35
P00113,12.4,4.66
P00114,-19.57,-0.35
P00115,13.98,21.27
P00116,5.62,3.09
P00117,-12.4,-8.43
P00118,0.47,5.03
P00119,5.8,-4.78
P00120,-11.52,-7.78
P00121,-11.57,6.43
P00122,-23.12,-3.33
P00123,4.5,15.22
P00124,0.71,10.01
P00125,-3.99,-7.44
P00126,-6.74,15.27
P00127,9.94,4.87
